State,City,Name,Language,Time,Type,Price,Capacity,Booked
Uttaranchal,Rudrapur,FunCinemasRaveCinemaRudrapur,Hindi,09:15,Gold,80₹,15,0
Uttaranchal,Rudrapur,FunCinemasRaveCinemaRudrapur,Hindi,09:15,Silver,80₹,65,0
Haryana,Chandigarh,FunCinemasRepublicMallChandigarh,Hindi,09:20,Normal,60₹,118,0
Haryana,Chandigarh,FunCinemasRepublicMallChandigarh,Hindi,09:20,Executive,60₹,141,0
Haryana,Chandigarh,FunCinemasRepublicMallChandigarh,Hindi,09:20,Normal,60₹,60,0
Haryana,Chandigarh,FunCinemasRepublicMallChandigarh,Hindi,09:20,Executive,60₹,136,0
Uttaranchal,Rudrapur,FunCinemasRaveCinemaRudrapur,Hindi,09:30,Platinum,200₹,8,0
Uttaranchal,Rudrapur,FunCinemasRaveCinemaRudrapur,Hindi,09:30,Gold,80₹,17,0
Uttaranchal,Rudrapur,FunCinemasRaveCinemaRudrapur,Hindi,09:30,Silver,80₹,78,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,10:30,Classic,99₹,87,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,10:30,Prime,99₹,13,0
UttarPradesh,Moradabad,PvrParshvanathMallMoradabad,Hindi,10:45,Classic,99₹,72,0
UttarPradesh,Moradabad,PvrParshvanathMallMoradabad,Hindi,10:45,ClassicPlus,99₹,161,18
MadhyaPradesh,Indore,PvrPlayHouseTreasureIslandIndore,Hindi,11:15,Prime,110₹,46,18
MadhyaPradesh,Indore,PvrPlayHouseTreasureIslandIndore,Hindi,11:15,Classic,110₹,26,0
MadhyaPradesh,Indore,PvrPlayHouseTreasureIslandIndore,Hindi,11:15,Recliner,170₹,8,6
UttarPradesh,Lucknow,PvrSingaporeMallGomtiNagar,Hindi,12:30,Classic,99₹,180,0
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,13:35,Platinum,400₹,28,0
Haryana,Gurgaon,PvrAmbienceGoldGurgaon,Hindi,13:35,PlatinumSuperior,400₹,8,2
UttarPradesh,Noida,PvrGoldLogixCityCentreNoida,Hindi,14:10,Recliner,700₹,32,16
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,15:00,Classic,140₹,179,0
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,15:00,Prime,190₹,26,0
UttarPradesh,Lucknow,PvrPhoenixUnitedMallAlambagh,Hindi,15:00,Recliner,290₹,12,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,15:10,Classic,99₹,128,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,15:10,Prime,99₹,79,0
UttarPradesh,Noida,CinepolisModiMallFormerlySpiceMall,Hindi,15:35,Normal,150₹,36,0
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,15:40,Classic,99₹,171,0
UttarPradesh,Lucknow,PvrSaharaGanjMallHazratganj,Hindi,15:40,Recliner,149₹,12,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,16:35,Classic,99₹,87,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,16:35,Prime,99₹,13,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMallGomtiNagar,Hindi,18:00,Normal,150₹,25,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMallGomtiNagar,Hindi,18:00,Executive,160₹,69,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMallGomtiNagar,Hindi,18:00,Premium,170₹,38,0
UttarPradesh,Lucknow,CinepolisOneAwadhCenterMallGomtiNagar,Hindi,18:00,Vip,450₹,8,0
UttarPradesh,Noida,PvrLogixCityCentreNoida,Hindi,20:05,Classic,99₹,89,8
UttarPradesh,GreaterNoida,PvrAnsalPlazaGreaterNoida,Hindi,20:50,Classic,99₹,78,0
UttarPradesh,GreaterNoida,PvrAnsalPlazaGreaterNoida,Hindi,20:50,Prime,99₹,35,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,21:35,Classic,99₹,128,0
UttarPradesh,GreaterNoida,PvrGaurCityGreaterNoida,Hindi,21:35,Prime,99₹,79,0
