State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
WestBengal,Mahishadal,GitaCinema,Hindi,11:30,AcSuper,100₹,60,2
WestBengal,Mahishadal,GitaCinema,Hindi,11:30,Special,70₹,96,0
WestBengal,Mahishadal,GitaCinema,Hindi,11:30,DressCircle,40₹,40,0
WestBengal,Mahishadal,GitaCinema,Hindi,11:30,Balcony,30₹,141,0
WestBengal,Mahishadal,GitaCinema,Hindi,11:30,RearStall,25₹,600,0
WestBengal,Mahishadal,GitaCinema,Hindi,14:15,AcSuper,100₹,60,2
WestBengal,Mahishadal,GitaCinema,Hindi,14:15,Special,70₹,96,0
WestBengal,Mahishadal,GitaCinema,Hindi,14:15,DressCircle,40₹,40,0
WestBengal,Mahishadal,GitaCinema,Hindi,14:15,Balcony,30₹,141,0
WestBengal,Mahishadal,GitaCinema,Hindi,14:15,RearStall,25₹,600,0
WestBengal,Mahishadal,GitaCinema,Hindi,17:00,AcSuper,100₹,60,2
WestBengal,Mahishadal,GitaCinema,Hindi,17:00,Special,70₹,96,0
WestBengal,Mahishadal,GitaCinema,Hindi,17:00,DressCircle,40₹,40,0
WestBengal,Mahishadal,GitaCinema,Hindi,17:00,Balcony,30₹,141,0
WestBengal,Mahishadal,GitaCinema,Hindi,17:00,RearStall,25₹,600,0
