City,Name,Language,Time,Type,Price,Capacity,Booked
Kolkata,InoxSouthCityMall,Bengali,11:05,Premier,160₹,34,0
Kolkata,InoxSouthCityMall,Bengali,11:05,Silver,160₹,156,3
Kolkata,InoxCityCentreSaltlake,Bengali,12:00,DressCircle,112₹,158,0
Kolkata,InoxCityCentreSaltlake,Bengali,12:00,Galleria,112₹,36,0
Kolkata,InoxCityCentreSaltlake,Bengali,12:00,Royale,112₹,31,0
Kolkata,PvrAvaniRiverSideMall,Bengali,12:10,Prime,290₹,6,1
Kolkata,PvrAvaniRiverSideMall,Bengali,12:10,Classic,190₹,183,4
Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:35,Economy,110₹,34,0
Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:35,Regular,150₹,65,0
Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,12:35,Executive,150₹,168,0
Kolkata,PvrDiamondPlazaJassore,Bengali,13:00,Classic,160₹,154,7
Kolkata,PvrDiamondPlazaJassore,Bengali,13:00,Prime,220₹,12,0
Kolkata,PvrDiamondPlazaJassore,Bengali,13:00,Recliner,420₹,14,2
Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,13:00,Club,130₹,72,4
Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,13:00,Executive,130₹,36,0
Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,13:00,Royal,130₹,40,5
Kolkata,InoxMetropolisMallHilandPark,Bengali,13:20,Premier,140₹,36,0
Kolkata,InoxMetropolisMallHilandPark,Bengali,13:20,Royal,300₹,14,0
Kolkata,InoxMetropolisMallHilandPark,Bengali,13:20,Silver,140₹,147,8
Kolkata,CinepolisLakeMallRashbehari,Bengali,13:25,Normal,140₹,38,0
Kolkata,CinepolisLakeMallRashbehari,Bengali,13:25,Executive,160₹,165,32
Kolkata,CinepolisLakeMallRashbehari,Bengali,13:25,Premium,180₹,19,13
Kolkata,CinepolisLakeMallRashbehari,Bengali,13:25,Vip,350₹,8,6
Siliguri,CarnivalCinemaSiliguri,Bengali,13:25,Special,160₹,28,0
Siliguri,CarnivalCinemaSiliguri,Bengali,13:25,Executive,160₹,176,2
Kolkata,RupMandirCinemaBelgharia,Bengali,13:45,Platinum,100₹,48,0
Kolkata,RupMandirCinemaBelgharia,Bengali,13:45,Gold,80₹,102,32
Kolkata,InoxCityCentreIiRajarhat,Bengali,14:00,Club,140₹,229,9
Kolkata,InoxCityCentreIiRajarhat,Bengali,14:00,Executive,140₹,42,0
Kolkata,PrachiCinemaAjcBoseRoad,Bengali,14:00,Balcony,150₹,177,137
Kolkata,PrachiCinemaAjcBoseRoad,Bengali,14:00,FrontStall,100₹,306,243
Agartala,RupasiCinemaAgartala,Bengali,14:00,GoldClass,120₹,205,68
Agartala,RupasiCinemaAgartala,Bengali,14:00,Recliners,350₹,16,0
Kolkata,InoxStarMallMadhyamgram,Bengali,14:10,Club,140₹,92,5
Kolkata,InoxStarMallMadhyamgram,Bengali,14:10,Executive,140₹,32,0
Kolkata,InoxStarMallMadhyamgram,Bengali,14:10,Royal,180₹,63,4
Kolkata,InoxQuestMallBallygunge,Bengali,14:15,Club,220₹,112,2
Kolkata,InoxQuestMallBallygunge,Bengali,14:15,Executive,180₹,24,0
Kolkata,InoxQuestMallBallygunge,Bengali,14:15,RoyalRecliner,390₹,8,3
Kolkata,InoxQuestMallBallygunge,Bengali,14:15,Royal,230₹,28,11
Howrah,InoxForumRangoliMallBelur,Bengali,14:45,Club,140₹,159,9
Howrah,InoxForumRangoliMallBelur,Bengali,14:45,Executive,140₹,69,0
Asansol,CarnivalSentrumMallAsansol,Bengali,14:55,Premium,110₹,63,0
Asansol,CarnivalSentrumMallAsansol,Bengali,14:55,Silver,110₹,150,4
Asansol,CarnivalSentrumMallAsansol,Bengali,14:55,Gold,110₹,43,4
Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,15:00,Classic,150₹,45,1
Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,15:00,Prime,190₹,97,0
Kolkata,PvrManiSquareMallEmBypassRoad,Bengali,15:00,Recliner,470₹,21,0
Howrah,MirajCinemasAurobinoMallHowrah,Bengali,15:20,Premium,170₹,136,0
Howrah,MirajCinemasAurobinoMallHowrah,Bengali,15:20,Deluxe,150₹,121,0
Kolkata,CarnivalSaltLake,Bengali,15:30,Silver,110₹,190,10
Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,15:45,Silver,110₹,40,0
Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,15:45,Gold,150₹,60,0
Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,15:45,Diamond,150₹,115,7
Kolkata,PvrDiamondPlazaJassore,Bengali,15:45,Classic,160₹,154,4
Kolkata,PvrDiamondPlazaJassore,Bengali,15:45,Prime,220₹,12,3
Kolkata,PvrDiamondPlazaJassore,Bengali,15:45,Recliner,420₹,14,3
Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,15:50,Normal,150₹,42,2
Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,15:50,Executive,170₹,135,2
Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,15:50,Premium,190₹,42,3
Kolkata,CinepolisLakeMallRashbehari,Bengali,16:15,Normal,140₹,38,2
Kolkata,CinepolisLakeMallRashbehari,Bengali,16:15,Executive,160₹,165,22
Kolkata,CinepolisLakeMallRashbehari,Bengali,16:15,Premium,180₹,19,15
Kolkata,CinepolisLakeMallRashbehari,Bengali,16:15,Vip,350₹,8,5
Siliguri,InoxCityCentreMatigara,Bengali,16:20,Club,190₹,176,14
Siliguri,InoxCityCentreMatigara,Bengali,16:20,Executive,190₹,32,1
Siliguri,InoxCityCentreMatigara,Bengali,16:20,Royale,240₹,10,0
Kolkata,InoxMetropolisMallHilandPark,Bengali,17:00,Premier,140₹,29,0
Kolkata,InoxMetropolisMallHilandPark,Bengali,17:00,Royal,300₹,18,3
Kolkata,InoxMetropolisMallHilandPark,Bengali,17:00,Silver,140₹,147,34
Kolkata,MirajCinemasNewtownKolkata,Bengali,17:00,Special,180₹,56,0
Kolkata,MirajCinemasNewtownKolkata,Bengali,17:00,Executive,200₹,78,4
Kolkata,MirajCinemasNewtownKolkata,Bengali,17:00,Recliner,350₹,22,4
Kolkata,PvrAvaniRiverSideMall,Bengali,17:00,Classic,190₹,200,30
Kolkata,PvrAvaniRiverSideMall,Bengali,17:00,Prime,310₹,11,4
Kolkata,InoxCityCentreSaltlake,Bengali,17:15,DressCircle,140₹,158,22
Kolkata,InoxCityCentreSaltlake,Bengali,17:15,Galleria,140₹,36,0
Kolkata,InoxCityCentreSaltlake,Bengali,17:15,Royale,140₹,31,10
Asansol,CarnivalSentrumMallAsansol,Bengali,17:25,Premium,110₹,63,0
Asansol,CarnivalSentrumMallAsansol,Bengali,17:25,Silver,110₹,150,2
Asansol,CarnivalSentrumMallAsansol,Bengali,17:25,Gold,150₹,43,4
Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,18:15,Club,130₹,72,0
Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,18:15,Executive,130₹,36,0
Burdwan,InoxBurdwanArcadeBBGhoshRoad,Bengali,18:15,Royal,130₹,40,4
Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,18:15,Silver,110₹,40,0
Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,18:15,Gold,150₹,60,2
Kolkata,CarnivalArtiSuncityMallBarasat,Bengali,18:15,Diamond,150₹,115,2
Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,18:15,Economy,110₹,34,0
Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,18:15,Regular,150₹,65,0
Durgapur,CarnivalCityCenterDreamplexBuilding,Bengali,18:15,Executive,150₹,168,0
Kolkata,AjantaCinemaBehala,Bengali,18:15,Balcony,150₹,106,63
Kolkata,JayantiCinemaBarrackpore,Bengali,18:15,SuperStall,200₹,183,145
Kolkata,JayantiCinemaBarrackpore,Bengali,18:15,Stall,200₹,39,39
Kolkata,PvrDiamondPlazaJassore,Bengali,18:25,Classic,160₹,154,35
Kolkata,PvrDiamondPlazaJassore,Bengali,18:25,Prime,220₹,12,5
Kolkata,PvrDiamondPlazaJassore,Bengali,18:25,Recliner,420₹,14,3
Siliguri,CarnivalCinemaSiliguri,Bengali,18:50,Special,160₹,28,0
Siliguri,CarnivalCinemaSiliguri,Bengali,18:50,Executive,160₹,176,4
Kolkata,CinepolisLakeMallRashbehari,Bengali,19:05,Normal,140₹,38,6
Kolkata,CinepolisLakeMallRashbehari,Bengali,19:05,Executive,160₹,165,36
Kolkata,CinepolisLakeMallRashbehari,Bengali,19:05,Premium,180₹,19,11
Kolkata,CinepolisLakeMallRashbehari,Bengali,19:05,Vip,350₹,8,6
Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,19:40,Normal,150₹,22,0
Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,19:40,Executive,170₹,64,25
Kolkata,CinepolisAcropolisMallRajdangaRoad,Bengali,19:40,Premium,190₹,20,3
Kolkata,InoxMetropolisMallHilandPark,Bengali,19:40,Premier,140₹,36,0
Kolkata,InoxMetropolisMallHilandPark,Bengali,19:40,Royal,300₹,14,0
Kolkata,InoxMetropolisMallHilandPark,Bengali,19:40,Silver,140₹,147,15
Kolkata,InoxCityCentreIiRajarhat,Bengali,19:45,Club,140₹,229,17
Kolkata,InoxCityCentreIiRajarhat,Bengali,19:45,Executive,140₹,42,0
Kolkata,InoxStarMallMadhyamgram,Bengali,19:50,Club,140₹,92,6
Kolkata,InoxStarMallMadhyamgram,Bengali,19:50,Executive,140₹,32,0
Kolkata,InoxStarMallMadhyamgram,Bengali,19:50,Royal,180₹,63,3
Kolkata,InoxCityCentreSaltlake,Bengali,19:50,DressCircle,140₹,158,27
Kolkata,InoxCityCentreSaltlake,Bengali,19:50,Galleria,140₹,36,0
Kolkata,InoxCityCentreSaltlake,Bengali,19:50,Royale,140₹,31,15
Kolkata,InoxSouthCityMall,Bengali,19:50,Premier,200₹,34,0
Kolkata,InoxSouthCityMall,Bengali,19:50,Silver,220₹,157,16
Kolkata,InoxQuestMallBallygunge,Bengali,19:55,Club,220₹,112,3
Kolkata,InoxQuestMallBallygunge,Bengali,19:55,Executive,180₹,24,0
Kolkata,InoxQuestMallBallygunge,Bengali,19:55,RoyalRecliner,390₹,8,5
Kolkata,InoxQuestMallBallygunge,Bengali,19:55,Royal,230₹,28,0
Kolkata,PvrAvaniRiverSideMall,Bengali,19:55,Classic,190₹,200,2
Kolkata,PvrAvaniRiverSideMall,Bengali,19:55,Prime,310₹,11,4
Kolkata,MirajCinemasNewtownKolkata,Bengali,20:00,Special,180₹,56,0
Kolkata,MirajCinemasNewtownKolkata,Bengali,20:00,Executive,200₹,78,2
Kolkata,MirajCinemasNewtownKolkata,Bengali,20:00,Recliner,350₹,22,4
Kolkata,JayantiCinemaBarrackpore,Bengali,20:30,SuperStall,200₹,183,145
Kolkata,JayantiCinemaBarrackpore,Bengali,20:30,Stall,150₹,39,39
Kolkata,CarnivalSaltLake,Bengali,20:55,Silver,110₹,190,23
Kolkata,PvrDiamondPlazaJassore,Bengali,22:30,Classic,160₹,80,6
Kolkata,PvrDiamondPlazaJassore,Bengali,22:30,Prime,220₹,11,0
Kolkata,PvrDiamondPlazaJassore,Bengali,22:30,Recliner,420₹,12,8
